Id,Text,Type
00027,"[Call](คุณเป็นผู้โชคดีได้รับเงินรางวัล 5,000 บาท กรุณาส่งรูปบัตรประชาชนเพื่อรับเงิน)",Scam
00028,"[Call](Your 2FA code is 654321)",Verification-call
00029,"[Call](สวัสดีค่ะ สำนักงานตรวจคนเข้าเมือง โทรมาสอบถามเอกสารยื่นขออนุญาตอยู่ต่อ)",Official
00030,"[Call](เธอไปคอนเสิร์ตวันเสาร์ไหม) [User](ไปสิเริ่มกี่โมง) [Call](ประตูเปิด 18:00 น.)",General
00031,"[Call](บัญชีของคุณถูกล็อกเนื่องจากพยายามเข้าสู่ระบบผิดหลายครั้ง โปรดยืนยันข้อมูลผ่าน *789#)",Scam
00032,"[Call](Your reset PIN is 321098)",Verification-call
00033,"[Call](เรียนคุณสุนิสา สำนักงานประกันสังคม โทรมาแจ้งสิทธิรับเบี้ยยังชีพ)",Official
00034,"[Call](เสียงแปลกๆ โปรดพูดซ้ำ)",Unknow
00035,"[Call](เจอกันนอกสโมสรเทนนิสกี่โมง) [User](บ่ายโมงดีไหม) [Call](ได้เลย)",General
00036,"[Call](รหัส OTP ของคุณคือ 567890)",Verification-call
00037,"[Call](ฝ่ายพัสดุไปรษณีย์โทรแจ้งว่าสินค้าคุณจัดส่งไม่สำเร็จ กรุณายืนยันที่อยู่ของคุณ)",Official
00038,"[Call](คุณได้รับข้อเสนอสินเชื่อดอกเบี้ยต่ำ โปรดส่งสำเนาบัตรประชาชนเพื่อดำเนินการ)",Scam
00039,"[Call](วันนี้กินข้าวที่คาเฟ่ไหนกันดี) [User](ลองร้านใหม่แถว BTS ได้ไหม)",General
00040,"[Call](Your temporary password is abc12345)",Verification-call
00041,"[Call](สวัสดีค่ะ โรงพยาบาลศิริราช โทรมาเตือนนัดตรวจสุขภาพประจำปี)",Official
00042,"[Call](แจ้งความค้างชำระบิลโทรศัพท์ โปรดเติมเงินเข้าเลขที่บัญชี 123-456789-0)",Scam
00043,"[Call](ไปเที่ยวทะเลกันมั้ย) [User](อยากไปมาก แต่ต้องเช็คงานก่อน)",General
00044,"[Call](เสียงไม่ชัดครับ) [User](ขอให้พูดชัดอีกครั้ง)",Unknow
00045,"[Call](ฝ่ายสรรพกรโปรดเก็บใบเสร็จนี้ไว้เพื่อลดหย่อนภาษี)",Official
00046,"[Call](Your login code is 102938)",Verification-call
00047,"[Call](คุณได้รับสิทธิซื้อประกันสุขภาพฟรี โปรดกด *123*1# เพื่อรับกรมธรรม์)",Scam
00048,"[Call](เพื่อนถามว่าจะไปดินเนอร์ไหมคืนนี้) [User](นัดที่ร้านเดิม 7 โมง)",General
00049,"[Call](กองทุนหมู่บ้านโทรมาสอบถามเงินช่วยเหลือฉุกเฉิน)",Official
00050,"[Call](รหัสยืนยันใหม่ของคุณคือ 847362)",Verification-call
00051,"[Call](แจ้งเตือน บัญชีธนาคารของคุณถูกระงับ โปรดส่งข้อมูลส่วนตัวเพื่อยืนยัน)",Scam
00052,"[Call](พรุ่งนี้มีประชุมทีมออนไลน์ 10 โมง) [User](รับทราบครับ)",General
00053,"[Call](สำนักงานสถิติแห่งชาติ โทรแจ้งผลสำรวจครัวเรือน)",Official
00054,"[Call](ไม่รู้ว่าใครเป็นคนโทรมาค่ะ)",Unknow
00055,"[Call](Your email confirmation code is 564738)",Verification-call
00056,"[Call](เราไปปั่นจักรยานกันที่สวนลุมฯ ไหม) [User](นัด 5 โมงเย็น)",General
00057,"[Call](คุณชนะรางวัลสลากกินแบ่งรัฐบาล กรุณาส่งภาพบัตรประชาชนเพื่อยืนยัน)",Scam
00058,"[Call](Your MFA code is 990011)",Verification-call
00059,"[Call](ธนาคารกรุงไทยโทรมาแจ้งว่าบัตร ATM ของคุณจะหมดอายุภายในเดือนนี้)",Official
00060,"[Call](เพื่อนถามเรื่องหนังสือเรียน) [User](พรุ่งนี้หาที่บ้านได้ไหม)",General
00061,"[Call](ส่งข่าวฉุกเฉิน บัญชี PayPal ของคุณถูกระงับ โปรดยืนยันผ่าน SMS)",Scam
00062,"[Call](รหัส OTP สำหรับสมัครบริการใหม่คือ 445566)",Verification-call
00063,"[Call](กรมทางหลวงโทรแจ้งปิดถนนชั่วคราว โปรดหลีกเลี่ยงเส้นทาง)",Official
00064,"[Call](เสียงผิดปกติครับ)",Unknow
00065,"[Call](จะไปดูคอนเสิร์ตวงโปรดคืนนี้ไหม) [User](คิดอีกทีนะ)",General
00066,"[Call](แจ้งเตือนระบบ หมายเลขโทรศัพท์ของคุณถูกนำไปใช้ในธุรกรรมฉ้อโกง)",Scam
00067,"[Call](Your security code is 778899)",Verification-call
00068,"[Call](อยากไปทานข้าวกลางวันที่ไหน) [User](ร้านญี่ปุ่นดีไหม)",General
00069,"[Call](สถาบันการเงินศรีสะเกษโทรแจ้งผลอนุมัติสินเชื่อ)",Official
00070,"[Call](แจ้งเตือนบิลค่าน้ำค้างชำระ โปรดยืนยันรหัส 112233)",Scam
00071,"[Call](Your pin reset code is 332211)",Verification-call
00072,"[Call](เธอสนใจเล่นเกมคืนนี้ไหม) [User](สนใจ แต่มีงานไม่แน่ใจ)",General
00073,"[Call](สำนักงานขนส่งจังหวัดลพบุรี โทรแจ้งนัดต่อใบขับขี่)",Official
00074,"[Call](เสียงแฮงค์ครับ)",Unknow
00075,"[Call](Your bank SMS code is 556677)",Verification-call
00076,"[Call](วันนี้มาซ้อมฟุตบอลกันที่สนามไหน) [User](สนามกีฬาเทศบาล)",General
00077,"[Call](คุณได้รับบัตรชมฟรีคอนเสิร์ต กรุณาแจ้งชื่อที่อยู่เพื่อจัดส่ง)",Scam
00078,"[Call](Verification code: 223344)",Verification-call
00079,"[Call](สถาบันรับรองวิชาชีพโทรแจ้งผลสอบ)",Official
00080,"[Call](เธอว่างอาทิตย์นี้ไปดำน้ำไหม) [User](อยากไปแต่ต้องเตรียมอุปกรณ์)",General
00081,"[Call](แจ้งเตือนเน็ตบ้านหมดอายุ โปรดกด *456*1# เพื่อชำระค่าบริการ)",Scam
00082,"[Call](Your download code is 998877)",Verification-call
00083,"[Call](ศุลกากรโทรแจ้งนัดรับสินค้าที่ด่านตม.)",Official
00084,"[Call](คนโทรไม่พูดอะไร)",Unknow
00085,"[Call](กินข้าวยัง) [User](ทานแล้วครับ)",General
00086,"[Call](คุณได้รับข้อเสนอเปิดบัตรเครดิตใหม่โดยไม่ต้องค้ำประกัน)",Scam
00087,"[Call](Your secret code is 667788)",Verification-call
00088,"[Call](สำนักงานประกันภัยโทรแจ้งอนุมัติเคลมรถ)",Official
00089,"[Call](เมื่อไหร่จะไปเที่ยวเชียงใหม่กัน) [User](เดือนหน้าได้ไหม)",General
00090,"[Call](แจ้งเตือน โปรดยืนยันข้อมูลบัญชีธนาคารของคุณภายใน 24 ชม.)",Scam
00091,"[Call](Your confirmation number is 445522)",Verification-call
00092,"[Call](วันเสาร์นี้เจอที่ร้านกาแฟไหม) [User](ได้เลย)",General
00093,"[Call](กรมป้องกันและบรรเทาสาธารณภัยโทรแจ้งคำแนะนำรับมืออุทกภัย)",Official
00094,"[Call](เสียงแตกครับ แก้ไขหน่อย)",Unknow
00095,"[Call](รหัสยืนยันของคุณคือ 556644)",Verification-call
00096,"[Call](คุณได้รับสิทธิ์แลกคูปองส่วนลด 50% กรุณาส่งบัตรประชาชนเพื่อรับสิทธิ์)",Scam
00097,"[Call](พรุ่งนี้มีนัดติวภาษาอังกฤษตอนเย็นไหม) [User](ขอเลื่อนเป็นเช้าได้ไหม)",General
00098,"[Call](Your Apple ID verification code is 778822)",Verification-call
00099,"[Call](สำนักงานพัฒนาชุมชนโทรแจ้งเงินสงเคราะห์ชุมชนจะเข้าบัญชีวันนี้)",Official
00100,"[Call](ไม่ทราบว่าใครโทรมา)",Unknow
00101,"[Call](สวัสดีค่ะ ดิฉันชื่อสุภาวดี โทรจากธนาคารกรุงเทพค่ะ ตอนนี้บัญชีของคุณมีการทำธุรกรรมที่ผิดปกติค่ะ) [User](จริงเหรอครับ? ผมไม่ได้ทำธุรกรรมอะไรเลยนะ) [Call](ค่ะ เราตรวจพบการโอนเงินจำนวน 50,000 บาท ไปยังบัญชีในต่างประเทศค่ะ คุณยืนยันว่าคุณไม่ได้ทำรายการนี้ใช่ไหมคะ?) [User](ใช่ครับ ผมไม่ได้ทำ) [Call](ในกรณีนี้ เราจำเป็นต้องยืนยันตัวตนของคุณเพื่อป้องกันการถูกแฮ็กค่ะ กรุณาแจ้งหมายเลขบัตรประชาชนและวันเดือนปีเกิดของคุณค่ะ) [User](เอ่อ... ได้ครับ หมายเลขบัตรประชาชนคือ 1234567890123 วันเกิด 1 มกราคม 2530) [Call](ขอบคุณค่ะ ตอนนี้เราจะส่งรหัส OTP ไปยังหมายเลขโทรศัพท์ของคุณ กรุณาแจ้งรหัสนั้นให้เราทราบค่ะ) [User](ได้รับแล้วครับ รหัสคือ 654321) [Call](ขอบคุณค่ะ ขณะนี้เรากำลังดำเนินการป้องกันบัญชีของคุณค่ะ)",Scam
00101,"[Call](สวัสดีค่ะ ดิฉันชื่อสุภาวดี โทรจากธนาคารกรุงเทพค่ะ ตอนนี้บัญชีของคุณมีการทำธุรกรรมที่ผิดปกติค่ะ) [User](จริงเหรอครับ? ผมไม่ได้ทำธุรกรรมอะไรเลยนะ) [Call](ค่ะ เราตรวจพบการโอนเงินจำนวน 50,000 บาท ไปยังบัญชีในต่างประเทศค่ะ คุณยืนยันว่าคุณไม่ได้ทำรายการนี้ใช่ไหมคะ?) [User](ใช่ครับ ผมไม่ได้ทำ) [Call](ในกรณีนี้ เราจำเป็นต้องยืนยันตัวตนของคุณเพื่อป้องกันการถูกแฮ็กค่ะ กรุณาแจ้งหมายเลขบัตรประชาชนและวันเดือนปีเกิดของคุณค่ะ) [User](เอ่อ... ได้ครับ หมายเลขบัตรประชาชนคือ 1234567890123 วันเกิด 1 มกราคม 2530) [Call](ขอบคุณค่ะ ตอนนี้เราจะส่งรหัส OTP ไปยังหมายเลขโทรศัพท์ของคุณ กรุณาแจ้งรหัสนั้นให้เราทราบค่ะ) [User](ได้รับแล้วครับ รหัสคือ 654321) [Call](ขอบคุณค่ะ ขณะนี้เรากำลังดำเนินการป้องกันบัญชีของคุณค่ะ)",Scam
00102,"[Call](สวัสดีครับ ผมโทรจากกรมสรรพากรครับ ขณะนี้คุณมีสิทธิ์ได้รับเงินคืนภาษีจำนวน 15,000 บาทครับ) [User](จริงเหรอครับ? ผมต้องทำอย่างไรบ้าง) [Call](กรุณาแจ้งหมายเลขบัญชีธนาคารและรหัสผ่านเพื่อให้เราสามารถโอนเงินคืนให้คุณได้ครับ) [User](เอ่อ... ผมไม่แน่ใจว่าควรให้ข้อมูลนี้หรือไม่) [Call](หากคุณไม่ให้ข้อมูลภายใน 24 ชั่วโมง คุณจะเสียสิทธิ์ในการรับเงินคืนนะครับ)",Scam
00103,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทขนส่งค่ะ พัสดุของคุณถูกส่งผิดที่ค่ะ) [User](โอ้ จริงเหรอครับ? แล้วผมต้องทำอย่างไร) [Call](กรุณาแจ้งที่อยู่ใหม่และหมายเลขบัตรประชาชนเพื่อยืนยันตัวตนค่ะ) [User](ที่อยู่ใหม่คือ 123 ถนนสุขสันต์ เขตบางกอกใหญ่ กรุงเทพฯ 10600 หมายเลขบัตรประชาชนคือ 1234567890123) [Call](ขอบคุณค่ะ เราจะดำเนินการส่งพัสดุให้คุณใหม่ค่ะ)",Scam
00104,"[Call](สวัสดีค่ะ ดิฉันโทรจากสำนักงานตำรวจแห่งชาติค่ะ ขณะนี้คุณมีหมายจับเนื่องจากเกี่ยวข้องกับการฟอกเงินค่ะ) [User](อะไรนะครับ? ผมไม่เคยทำอะไรผิดเลย) [Call](หากคุณต้องการยกเลิกหมายจับ กรุณาโอนเงินค่าธรรมเนียม 20,000 บาทภายในวันนี้ค่ะ) [User](ผมต้องโอนไปที่ไหนครับ?) [Call](กรุณาโอนไปยังบัญชีหมายเลข 123-456789-0 ธนาคารกรุงเทพค่ะ)",Scam
00105,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทประกันชีวิตค่ะ คุณมีสิทธิ์ได้รับกรมธรรม์ฟรีค่ะ) [User](จริงเหรอครับ? ผมต้องทำอย่างไรบ้าง) [Call](กรุณาแจ้งหมายเลขบัตรประชาชนและบัญชีธนาคารเพื่อดำเนินการค่ะ) [User](หมายเลขบัตรประชาชนคือ 1234567890123 บัญชีธนาคารคือ 987-654321-0) [Call](ขอบคุณค่ะ เราจะดำเนินการให้คุณทันทีค่ะ)",Scam
00106,"[Call](สวัสดีครับ ผมโทรจากธนาคารกสิกรไทยครับ บัญชีของคุณมีการใช้งานผิดปกติครับ) [User](จริงเหรอครับ? ผมควรทำอย่างไร) [Call](กรุณาแจ้งรหัสผ่านของคุณเพื่อให้เราตรวจสอบและป้องกันการถูกแฮ็กครับ) [User](รหัสผ่านคือ mypassword123) [Call](ขอบคุณครับ เราจะดำเนินการตรวจสอบให้ทันทีครับ)",Scam
00107,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทโทรคมนาคมค่ะ คุณมีสิทธิ์ได้รับโปรโมชั่นพิเศษค่ะ) [User](โปรโมชั่นอะไรครับ?) [Call](คุณจะได้รับอินเทอร์เน็ตไม่จำกัดในราคาเพียง 99 บาทต่อเดือนค่ะ กรุณาแจ้งหมายเลขบัตรประชาชนเพื่อสมัครค่ะ) [User](หมายเลขบัตรประชาชนคือ 1234567890123) [Call](ขอบคุณค่ะ เราจะดำเนินการสมัครให้คุณทันทีค่ะ)",Scam
00108,"[Call](สวัสดีครับ ผมโทรจากกรมสรรพากรครับ คุณมีภาษีค้างชำระจำนวน 10,000 บาทครับ) [User](จริงเหรอครับ? ผมไม่เคยได้รับแจ้งมาก่อน) [Call](หากคุณไม่ชำระภาษีภายใน 3 วัน คุณจะถูกดำเนินคดีครับ กรุณาโอนเงินไปยังบัญชีหมายเลข 123-456789-0 ธนาคารกรุงเทพครับ)",Scam
00109,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทขนส่งค่ะ พัสดุของคุณถูกส่งผิดที่ค่ะ) [User](โอ้ จริงเหรอครับ? แล้วผมต้องทำอย่างไร) [Call](กรุณาแจ้งที่อยู่ใหม่และหมายเลขบัตรประชาชนเพื่อยืนยันตัวตนค่ะ) [User](ที่อยู่ใหม่คือ 123 ถนนสุขสันต์ เขตบางกอกใหญ่ กรุงเทพฯ 10600 หมายเลขบัตรประชาชนคือ 1234567890123) [Call](ขอบคุณค่ะ เราจะดำเนินการส่งพัสดุให้คุณใหม่ค่ะ)",Scam
00110,"[Call](สวัสดีครับ ผมโทรจากธนาคารกรุงไทยครับ บัญชีของคุณมีการใช้งานผิดปกติครับ) [User](จริงเหรอครับ? ผมควรทำอย่างไร) [Call](กรุณาแจ้งรหัสผ่านของคุณเพื่อให้เราตรวจสอบและป้องกันการถูกแฮ็กครับ) [User](รหัสผ่านคือ mypassword123) [Call](ขอบคุณครับ เราจะดำเนินการตรวจสอบให้ทันทีครับ)",Scam
00111,"[Call](สวัสดีค่ะ ดิฉันโทรจากธนาคารแห่งประเทศไทยค่ะ ขณะนี้บัญชีของคุณมีการทำธุรกรรมที่ผิดปกติค่ะ) [User](จริงเหรอครับ? ผมไม่ได้ทำธุรกรรมอะไรเลยนะ) [Call](ค่ะ เราตรวจพบการโอนเงินจำนวน 100,000 บาท ไปยังบัญชีในต่างประเทศค่ะ คุณยืนยันว่าคุณไม่ได้ทำรายการนี้ใช่ไหมคะ?) [User](ใช่ครับ ผมไม่ได้ทำ) [Call](ในกรณีนี้ เราจำเป็นต้องยืนยันตัวตนของคุณเพื่อป้องกันการถูกแฮ็กค่ะ กรุณาแจ้งหมายเลขบัตรประชาชนและวันเดือนปีเกิดของคุณค่ะ) [User](เอ่อ... ได้ครับ หมายเลขบัตรประชาชนคือ 1234567890123 วันเกิด 1 มกราคม 2530) [Call](ขอบคุณค่ะ ตอนนี้เราจะส่งรหัส OTP ไปยังหมายเลขโทรศัพท์ของคุณ กรุณาแจ้งรหัสนั้นให้เราทราบค่ะ) [User](ได้รับแล้วครับ รหัสคือ 654321) [Call](ขอบคุณค่ะ ขณะนี้เรากำลังดำเนินการป้องกันบัญชีของคุณค่ะ)",Scam
00112,"[Call](สวัสดีครับ ผมโทรจากกรมสรรพากรครับ ขณะนี้คุณมีสิทธิ์ได้รับเงินคืนภาษีจำนวน 20,000 บาทครับ) [User](จริงเหรอครับ? ผมต้องทำอย่างไรบ้าง) [Call](กรุณาแจ้งหมายเลขบัญชีธนาคารและรหัสผ่านเพื่อให้เราสามารถโอนเงินคืนให้คุณได้ครับ) [User](เอ่อ... ผมไม่แน่ใจว่าควรให้ข้อมูลนี้หรือไม่) [Call](หากคุณไม่ให้ข้อมูลภายใน 24 ชั่วโมง คุณจะเสียสิทธิ์ในการรับเงินคืนนะครับ)",Scam
00113,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทขนส่งค่ะ พัสดุของคุณถูกส่งผิดที่ค่ะ) [User](โอ้ จริงเหรอครับ? แล้วผมต้องทำอย่างไร) [Call](กรุณาแจ้งที่อยู่ใหม่และหมายเลขบัตรประชาชนเพื่อยืนยันตัวตนค่ะ) [User](ที่อยู่ใหม่คือ 123 ถนนสุขสันต์ เขตบางกอกใหญ่ กรุงเทพฯ 10600 หมายเลขบัตรประชาชนคือ 1234567890123) [Call](ขอบคุณค่ะ เราจะดำเนินการส่งพัสดุให้คุณใหม่ค่ะ)",Scam
00114,"[Call](สวัสดีค่ะ ดิฉันโทรจากสำนักงานตำรวจแห่งชาติค่ะ ขณะนี้คุณมีหมายจับเนื่องจากเกี่ยวข้องกับการฟอกเงินค่ะ) [User](อะไรนะครับ? ผมไม่เคยทำอะไรผิดเลย) [Call](หากคุณต้องการยกเลิกหมายจับ กรุณาโอนเงินค่าธรรมเนียม 30,000 บาทภายในวันนี้ค่ะ) [User](ผมต้องโอนไปที่ไหนครับ?) [Call](กรุณาโอนไปยังบัญชีหมายเลข 123-456789-0 ธนาคารกรุงเทพค่ะ)",Scam
00115,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทประกันชีวิตค่ะ คุณมีสิทธิ์ได้รับกรมธรรม์ฟรีค่ะ) [User](จริงเหรอครับ? ผมต้องทำอย่างไรบ้าง) [Call](กรุณาแจ้งหมายเลขบัตรประชาชนและบัญชีธนาคารเพื่อดำเนินการค่ะ) [User](หมายเลขบัตรประชาชนคือ 1234567890123 บัญชีธนาคารคือ 987-654321-0) [Call](ขอบคุณค่ะ เราจะดำเนินการให้คุณทันทีค่ะ)",Scam
00116,"[Call](สวัสดีครับ ผมโทรจากธนาคารกสิกรไทยครับ บัญชีของคุณมีการใช้งานผิดปกติครับ) [User](จริงเหรอครับ? ผมควรทำอย่างไร) [Call](กรุณาแจ้งรหัสผ่านของคุณเพื่อให้เราตรวจสอบและป้องกันการถูกแฮ็กครับ) [User](รหัสผ่านคือ mypassword123) [Call](ขอบคุณครับ เราจะดำเนินการตรวจสอบให้ทันทีครับ)",Scam
00117,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทโทรคมนาคมค่ะ คุณมีสิทธิ์ได้รับโปรโมชั่นพิเศษค่ะ) [User](โปรโมชั่นอะไรครับ?) [Call](คุณจะได้รับอินเทอร์เน็ตไม่จำกัดในราคาเพียง 99 บาทต่อเดือนค่ะ กรุณาแจ้งหมายเลขบัตรประชาชนเพื่อสมัครค่ะ) [User](หมายเลขบัตรประชาชนคือ 1234567890123) [Call](ขอบคุณค่ะ เราจะดำเนินการสมัครให้คุณทันทีค่ะ)",Scam
00118,"[Call](สวัสดีครับ ผมโทรจากกรมสรรพากรครับ คุณมีภาษีค้างชำระจำนวน 15,000 บาทครับ) [User](จริงเหรอครับ? ผมไม่เคยได้รับแจ้งมาก่อน) [Call](หากคุณไม่ชำระภาษีภายใน 3 วัน คุณจะถูกดำเนินคดีครับ กรุณาโอนเงินไปยังบัญชีหมายเลข 123-456789-0 ธนาคารกรุงเทพครับ)",Scam
00119,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทขนส่งค่ะ พัสดุของคุณถูกส่งผิดที่ค่ะ) [User](โอ้ จริงเหรอครับ? แล้วผมต้องทำอย่างไร) [Call](กรุณาแจ้งที่อยู่ใหม่และหมายเลขบัตรประชาชนเพื่อยืนยันตัวตนค่ะ) [User](ที่อยู่ใหม่คือ 123 ถนนสุขสันต์ เขตบางกอกใหญ่ กรุงเทพฯ 10600 หมายเลขบัตรประชาชนคือ 1234567890123) [Call](ขอบคุณค่ะ เราจะดำเนินการส่งพัสดุให้คุณใหม่ค่ะ)",Scam
00120,"[Call](สวัสดีครับ ผมโทรจากธนาคารกรุงไทยครับ บัญชีของคุณมีการใช้งานผิดปกติครับ) [User](จริงเหรอครับ? ผมควรทำอย่างไร) [Call](กรุณาแจ้งรหัสผ่านของคุณเพื่อให้เราตรวจสอบและป้องกันการถูกแฮ็กครับ) [User](รหัสผ่านคือ mypassword123) [Call](ขอบคุณครับ เราจะดำเนินการตรวจสอบให้ทันทีครับ)",Scam
00121,"[Call](สวัสดีค่ะ ดิฉันโทรจากธนาคารแห่งประเทศไทยค่ะ ขณะนี้บัญชีของคุณมีการทำธุรกรรมที่ผิดปกติค่ะ) [User](จริงเหรอครับ? ผมไม่ได้ทำธุรกรรมอะไรเลยนะ) [Call](ค่ะ เราตรวจพบการโอนเงินจำนวน 100,000 บาท ไปยังบัญชีในต่างประเทศค่ะ คุณยืนยันว่าคุณไม่ได้ทำรายการนี้ใช่ไหมคะ?) [User](ใช่ครับ ผมไม่ได้ทำ) [Call](ในกรณีนี้ เราจำเป็นต้องยืนยันตัวตนของคุณเพื่อป้องกันการถูกแฮ็กค่ะ กรุณาแจ้งหมายเลขบัตรประชาชนและวันเดือนปีเกิดของคุณค่ะ) [User](เอ่อ... ได้ครับ หมายเลขบัตรประชาชนคือ 1234567890123 วันเกิด 1 มกราคม 2530) [Call](ขอบคุณค่ะ ตอนนี้เราจะส่งรหัส OTP ไปยังหมายเลขโทรศัพท์ของคุณ กรุณาแจ้งรหัสนั้นให้เราทราบค่ะ) [User](ได้รับแล้วครับ รหัสคือ 654321) [Call](ขอบคุณค่ะ ขณะนี้เรากำลังดำเนินการป้องกันบัญชีของคุณค่ะ)",Scam
00122,"[Call](สวัสดีครับ ผมโทรจากกรมสรรพากรครับ ขณะนี้คุณมีสิทธิ์ได้รับเงินคืนภาษีจำนวน 20,000 บาทครับ) [User](จริงเหรอครับ? ผมต้องทำอย่างไรบ้าง) [Call](กรุณาแจ้งหมายเลขบัญชีธนาคารและรหัสผ่านเพื่อให้เราสามารถโอนเงินคืนให้คุณได้ครับ) [User](เอ่อ... ผมไม่แน่ใจว่าควรให้ข้อมูลนี้หรือไม่) [Call](หากคุณไม่ให้ข้อมูลภายใน 24 ชั่วโมง คุณจะเสียสิทธิ์ในการรับเงินคืนนะครับ)",Scam
