text,label
"สมาชิกใหม่รับเครดิตฟรี 300 บาท เพียงลงทะเบียนและยืนยันเบอร์",spam
"แจ้งเตือนต่ออายุแพ็กเกจ ค่าน้ำไฟ ภายใน 7 วัน",legitimate
"ลงทุนวันนี้ รับผลตอบแทน 90% ต่อเดือน ถอนกำไรได้ทุกวัน",scam
"งานเสริมออนไลน์ รายได้วันละ 300 บาท โอนค่าสมัคร 199 บาท เริ่มงานทันที",scam
"แจ้งเตือนต่ออายุแพ็กเกจ บัตรเครดิต ภายใน 7 วัน",legitimate
"รับงานพิมพ์ที่บ้าน จ่ายค่าระบบ 499 บาท แล้วเริ่มงานได้ทันที",scam
"งานเสริมออนไลน์ รายได้วันละ 800 บาท โอนค่าสมัคร 99 บาท เริ่มงานทันที",scam
"คำสั่งซื้อเลขที่ TH66209 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"ระบบจะปิดปรับปรุงวันที่ 10/06/2026 เวลา 08:30 - 21:00 น.",legitimate
"คอร์สออนไลน์ใหม่ ลดราคา 70% สำหรับ 100 คนแรก",spam
"โปรโมชันแรง iPhone 16 ลดสูงสุด 90% วันนี้วันสุดท้าย คลิกดูรายละเอียด",spam
"Flash Sale แพ็กเกจท่องเที่ยว จำนวนจำกัด รีบสั่งก่อนหมด",spam
"อนุมัติสินเชื่อด่วนวงเงิน 80,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"งานเสริมออนไลน์ รายได้วันละ 300 บาท โอนค่าสมัคร 99 บาท เริ่มงานทันที",scam
"ยืนยันตัวตน e-KYC ด่วนผ่าน rebrand.ly/ekyc103435 ไม่เช่นนั้นจะใช้งานแอปไม่ได้",phishing
"คำสั่งซื้อเลขที่ TH30977 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"Flash Sale iPhone 16 จำนวนจำกัด รีบสั่งก่อนหมด",spam
"เรียนลูกค้า ttb กรุณาอัปเดตข้อมูล KYC ผ่านลิงก์ shorturl.at/kyc102114 เพื่อหลีกเลี่ยงการระงับบริการ",phishing
"ระบบตรวจพบธุรกรรมเสี่ยง โปรดยืนยันรหัสผ่านที่ tinyurl.com/secure100595 ก่อนถูกระงับ",phishing
"บัญชีพร้อมเพย์ของคุณมีความเสี่ยง โปรดยืนยัน PIN ผ่าน shorturl.at/pin102904 ภายในวันนี้",phishing
"เรียนลูกค้า กรุงเทพ กรุณาอัปเดตข้อมูล KYC ผ่านลิงก์ tinyurl.com/kyc100280 เพื่อหลีกเลี่ยงการระงับบริการ",phishing
"โปรโมชันแรง เครื่องใช้ไฟฟ้า ลดสูงสุด 20% วันนี้วันสุดท้าย คลิกดูรายละเอียด",spam
"แจ้งเตือนจาก ttb: หากไม่ยืนยันข้อมูลส่วนตัวใน 45 นาที บัญชีจะถูกล็อก tinyurl.com/k100182",phishing
"นัดหมายตรวจสุขภาพประจำปี วันที่ 18/05/2026 เวลา 09:00 น.",legitimate
"ร้านของเราจัดดีลพิเศษสำหรับ ประกัน สมัครวันนี้รับส่วนลดทันที",spam
"กลุ่มปิดหุ้นวงใน กำไรการันตี สมัครสมาชิกเพียง 49 บาท",scam
"แคมเปญเดือนนี้ ซื้อ 1 แถม 1 เฉพาะลูกค้าใหม่เท่านั้น",spam
"อนุมัติสินเชื่อด่วนวงเงิน 200,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"พัสดุจาก Best Express ตกค้าง ชำระค่าธรรมเนียม 499 บาทที่ cutt.ly/pay104119",scam
"งานเสริมออนไลน์ รายได้วันละ 800 บาท โอนค่าสมัคร 49 บาท เริ่มงานทันที",scam
"สมาชิกใหม่รับเครดิตฟรี 800 บาท เพียงลงทะเบียนและยืนยันเบอร์",spam
"แจ้งเตือนจาก ttb: หากไม่ยืนยันข้อมูลส่วนตัวใน 20 นาที บัญชีจะถูกล็อก s.id/k102499",phishing
"ยืนยันการชำระเงินสำเร็จ ยอด 300 บาท เมื่อ 10/06/2026",legitimate
"ยืนยันการชำระเงินสำเร็จ ยอด 1200 บาท เมื่อ 18/05/2026",legitimate
"อนุมัติสินเชื่อด่วนวงเงิน 30,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"งานเสริมออนไลน์ รายได้วันละ 1200 บาท โอนค่าสมัคร 19 บาท เริ่มงานทันที",scam
"แจ้งเตือนจาก KBank: หากไม่ยืนยันข้อมูลส่วนตัวใน 20 นาที บัญชีจะถูกล็อก s.id/k100104",phishing
"บัญชีพร้อมเพย์ของคุณมีความเสี่ยง โปรดยืนยัน PIN ผ่าน bit.ly/pin100348 ภายในวันนี้",phishing
"เรียนลูกค้า Krungthai กรุณาอัปเดตข้อมูล KYC ผ่านลิงก์ bit.ly/kyc100844 เพื่อหลีกเลี่ยงการระงับบริการ",phishing
"กลุ่มปิดหุ้นวงใน กำไรการันตี สมัครสมาชิกเพียง 19 บาท",scam
"พัสดุจาก Best Express ตกค้าง ชำระค่าธรรมเนียม 49 บาทที่ tinyurl.com/pay104526",scam
"คำสั่งซื้อเลขที่ TH20488 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"คุณได้รับสิทธิ์เงินช่วยเหลือ 30,000 บาท กรุณาโอนค่าดำเนินการ 199 บาทก่อน",scam
"Flash Sale ทองคำ 1 บาท จำนวนจำกัด รีบสั่งก่อนหมด",spam
"คุณได้รับสิทธิ์เงินช่วยเหลือ 50,000 บาท กรุณาโอนค่าดำเนินการ 49 บาทก่อน",scam
"พัสดุจาก J&T ตกค้าง ชำระค่าธรรมเนียม 499 บาทที่ rebrand.ly/pay102669",scam
"คอร์สออนไลน์ใหม่ ลดราคา 70% สำหรับ 100 คนแรก",spam
"ดีลพิเศษส่งฟรีทุกออเดอร์ เมื่อซื้อครบ 800 บาท",spam
"แจ้งเตือนประชุมทีมวันพรุ่งนี้ เวลา 15:30 น. ห้องประชุม C",legitimate
"ลงทุนวันนี้ รับผลตอบแทน 90% ต่อเดือน ถอนกำไรได้ทุกวัน",scam
"ใบเสร็จค่าบริการ ค่าน้ำไฟ ประจำเดือนถูกส่งเข้าอีเมลของคุณแล้ว",legitimate
"ยืนยันตัวตน e-KYC ด่วนผ่าน shorturl.at/ekyc100234 ไม่เช่นนั้นจะใช้งานแอปไม่ได้",phishing
"ใบเสร็จค่าบริการ บัตรเครดิต ประจำเดือนถูกส่งเข้าอีเมลของคุณแล้ว",legitimate
"แจ้งเตือนประชุมทีมวันพรุ่งนี้ เวลา 10:30 น. ห้องประชุม B",legitimate
"อนุมัติสินเชื่อด่วนวงเงิน 200,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"อนุมัติสินเชื่อด่วนวงเงิน 50,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"แจ้งเตือนจาก ttb: หากไม่ยืนยันข้อมูลส่วนตัวใน 30 นาที บัญชีจะถูกล็อก tinyurl.com/k104092",phishing
"รับงานพิมพ์ที่บ้าน จ่ายค่าระบบ 299 บาท แล้วเริ่มงานได้ทันที",scam
"ลงทุนวันนี้ รับผลตอบแทน 40% ต่อเดือน ถอนกำไรได้ทุกวัน",scam
"Flash Sale เครื่องใช้ไฟฟ้า จำนวนจำกัด รีบสั่งก่อนหมด",spam
"งานเสริมออนไลน์ รายได้วันละ 1500 บาท โอนค่าสมัคร 99 บาท เริ่มงานทันที",scam
"บัญชี กรุงศรี ของคุณถูกระงับชั่วคราว กรุณายืนยันตัวตนผ่าน cutt.ly/auth100861 ภายใน 48 ชม.",phishing
"พบการเข้าสู่ระบบผิดปกติใน Mobile Banking โปรดกรอก OTP ที่ cutt.ly/verify102389 ทันที",phishing
"แจ้งเตือนประชุมทีมวันพรุ่งนี้ เวลา 19:00 น. ห้องประชุม B",legitimate
"คำสั่งซื้อเลขที่ TH66209 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"ใบเสร็จค่าบริการ ค่าน้ำไฟ ประจำเดือนถูกส่งเข้าอีเมลของคุณแล้ว",legitimate
"สมาชิกใหม่รับเครดิตฟรี 1200 บาท เพียงลงทะเบียนและยืนยันเบอร์",spam
"นัดหมายตรวจสุขภาพประจำปี วันที่ 12/05/2026 เวลา 15:30 น.",legitimate
"กลุ่มปิดหุ้นวงใน กำไรการันตี สมัครสมาชิกเพียง 49 บาท",scam
"ระบบตรวจพบธุรกรรมเสี่ยง โปรดยืนยันรหัสผ่านที่ rebrand.ly/secure102280 ก่อนถูกระงับ",phishing
"คำสั่งซื้อเลขที่ TH45012 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"แจ้งเตือนประชุมทีมวันพรุ่งนี้ เวลา 10:30 น. ห้องประชุม C",legitimate
"ยืนยันตัวตน e-KYC ด่วนผ่าน cutt.ly/ekyc100140 ไม่เช่นนั้นจะใช้งานแอปไม่ได้",phishing
"ระบบตรวจพบธุรกรรมเสี่ยง โปรดยืนยันรหัสผ่านที่ cutt.ly/secure101433 ก่อนถูกระงับ",phishing
"รับงานพิมพ์ที่บ้าน จ่ายค่าระบบ 19 บาท แล้วเริ่มงานได้ทันที",scam
"ดีลพิเศษส่งฟรีทุกออเดอร์ เมื่อซื้อครบ 100 บาท",spam
"ระบบจะปิดปรับปรุงวันที่ 10/06/2026 เวลา 15:30 - 17:00 น.",legitimate
"ระบบตรวจพบธุรกรรมเสี่ยง โปรดยืนยันรหัสผ่านที่ tinyurl.com/secure104403 ก่อนถูกระงับ",phishing
"Flash Sale ทองคำ 1 บาท จำนวนจำกัด รีบสั่งก่อนหมด",spam
"คำสั่งซื้อเลขที่ TH55021 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"รับงานพิมพ์ที่บ้าน จ่ายค่าระบบ 499 บาท แล้วเริ่มงานได้ทันที",scam
"แคมเปญเดือนนี้ ซื้อ 1 แถม 1 เฉพาะลูกค้าใหม่เท่านั้น",spam
"แคมเปญเดือนนี้ ซื้อ 1 แถม 1 เฉพาะลูกค้าใหม่เท่านั้น",spam
"แจ้งเตือนต่ออายุแพ็กเกจ ประกัน ภายใน 7 วัน",legitimate
"โปรโมชันแรง แพ็กเกจท่องเที่ยว ลดสูงสุด 20% วันนี้วันสุดท้าย คลิกดูรายละเอียด",spam
"กลุ่มปิดหุ้นวงใน กำไรการันตี สมัครสมาชิกเพียง 49 บาท",scam
"ระบบจะปิดปรับปรุงวันที่ 02/06/2026 เวลา 08:30 - 17:00 น.",legitimate
"Flash Sale คูปองส่วนลด จำนวนจำกัด รีบสั่งก่อนหมด",spam
"พบการเข้าสู่ระบบผิดปกติใน LINE โปรดกรอก OTP ที่ bit.ly/verify103790 ทันที",phishing
"Flash Sale คูปองส่วนลด จำนวนจำกัด รีบสั่งก่อนหมด",spam
"คอร์สออนไลน์ใหม่ ลดราคา 40% สำหรับ 100 คนแรก",spam
"คำสั่งซื้อเลขที่ TH20488 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"นัดหมายตรวจสุขภาพประจำปี วันที่ 10/06/2026 เวลา 10:30 น.",legitimate
"ยืนยันตัวตน e-KYC ด่วนผ่าน s.id/ekyc104554 ไม่เช่นนั้นจะใช้งานแอปไม่ได้",phishing
"อนุมัติสินเชื่อด่วนวงเงิน 50,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"ระบบจะปิดปรับปรุงวันที่ 10/06/2026 เวลา 19:00 - 14:30 น.",legitimate
"เรียนลูกค้า กรุงศรี กรุณาอัปเดตข้อมูล KYC ผ่านลิงก์ rebrand.ly/kyc101955 เพื่อหลีกเลี่ยงการระงับบริการ",phishing
"เรียนลูกค้า ออมสิน กรุณาอัปเดตข้อมูล KYC ผ่านลิงก์ s.id/kyc102474 เพื่อหลีกเลี่ยงการระงับบริการ",phishing
"คำสั่งซื้อเลขที่ TH30977 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"รับงานพิมพ์ที่บ้าน จ่ายค่าระบบ 99 บาท แล้วเริ่มงานได้ทันที",scam
"Flash Sale เครื่องใช้ไฟฟ้า จำนวนจำกัด รีบสั่งก่อนหมด",spam
"คำสั่งซื้อเลขที่ TH55021 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"รับงานพิมพ์ที่บ้าน จ่ายค่าระบบ 99 บาท แล้วเริ่มงานได้ทันที",scam
"คอร์สออนไลน์ใหม่ ลดราคา 10% สำหรับ 100 คนแรก",spam
"งานเสริมออนไลน์ รายได้วันละ 100 บาท โอนค่าสมัคร 49 บาท เริ่มงานทันที",scam
"บัญชี Krungthai ของคุณถูกระงับชั่วคราว กรุณายืนยันตัวตนผ่าน s.id/auth100027 ภายใน 24 ชม.",phishing
"แคมเปญเดือนนี้ ซื้อ 1 แถม 1 เฉพาะลูกค้าใหม่เท่านั้น",spam
"แจ้งเตือนประชุมทีมวันพรุ่งนี้ เวลา 13:00 น. ห้องประชุม E",legitimate
"บัญชีพร้อมเพย์ของคุณมีความเสี่ยง โปรดยืนยัน PIN ผ่าน s.id/pin101283 ภายในวันนี้",phishing
"ใบเสร็จค่าบริการ ประกัน ประจำเดือนถูกส่งเข้าอีเมลของคุณแล้ว",legitimate
"พบการเข้าสู่ระบบผิดปกติใน พอร์ทัลลูกค้า โปรดกรอก OTP ที่ bit.ly/verify102003 ทันที",phishing
"ระบบตรวจพบธุรกรรมเสี่ยง โปรดยืนยันรหัสผ่านที่ tinyurl.com/secure100676 ก่อนถูกระงับ",phishing
"แคมเปญเดือนนี้ ซื้อ 1 แถม 1 เฉพาะลูกค้าใหม่เท่านั้น",spam
"สมาชิกใหม่รับเครดิตฟรี 1500 บาท เพียงลงทะเบียนและยืนยันเบอร์",spam
"คำสั่งซื้อเลขที่ TH45012 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"เรียนลูกค้า Krungthai กรุณาอัปเดตข้อมูล KYC ผ่านลิงก์ cutt.ly/kyc100764 เพื่อหลีกเลี่ยงการระงับบริการ",phishing
"คำสั่งซื้อเลขที่ TH55021 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"คุณได้รับสิทธิ์เงินช่วยเหลือ 120,000 บาท กรุณาโอนค่าดำเนินการ 99 บาทก่อน",scam
"คำสั่งซื้อเลขที่ TH45012 จัดส่งสำเร็จแล้ว ขอบคุณที่ใช้บริการ",legitimate
"โปรโมชันแรง คูปองส่วนลด ลดสูงสุด 20% วันนี้วันสุดท้าย คลิกดูรายละเอียด",spam
"อนุมัติสินเชื่อด่วนวงเงิน 30,000 บาท ไม่เช็กบูโร ทักไลน์ด่วนตอนนี้",scam
"ยืนยันตัวตน e-KYC ด่วนผ่าน cutt.ly/ekyc102571 ไม่เช่นนั้นจะใช้งานแอปไม่ได้",phishing
